Unnamed: 0,index,user_id,emoji_sentence,char_count,cluster,sentence,gender_labels,sentiment_labels,emotion_labels,age_labels,stance_labels,is_duplicate,predicted_emojis,predicted_sentence,gender_logits,sentiment_logits,emotion_logits,age_logits,stance_logits,predicted_pure_emojis,predicted_pure_sentence,real_emojis
0,5,cde1bf7a51906eb605343abd83f72733,Once again he proves that he's for the establishment and not his constituents. 👎🏼👎🏿👎🏽👎 #Shameshame,98,8,Once again he proves that he's for the establishment and not his constituents.  #Shameshame,female,negative,anger,adult,against,False,"💼🙅‍♂️💔 (Establishment, not representing constituents, feeling of disappointment or shame)","Once again he proves that he's for the establishment and not his constituents.  #Shameshame 💼🙅‍♂️💔 (Establishment, not representing constituents, feeling of disappointment or shame)",male,negative,sadness,adult,against,💼🙅♂💔,Once again he proves that he's for the establishment and not his constituents.  #Shameshame 💼🙅♂💔,👎🏼👎🏿👎🏽👎
1,8,cde1bf7a51906eb605343abd83f72733,More tweets from he 🤡🤡,22,8,More tweets from he ,male,negative,disgust,teen,none,False,"📱💬🔝 (Smartphone, Speech Bubble, Up Arrow)","More tweets from he  📱💬🔝 (Smartphone, Speech Bubble, Up Arrow)",male,neutral,surprise,child,none,📱💬🔝,More tweets from he  📱💬🔝,🤡🤡
2,9,cde1bf7a51906eb605343abd83f72733,I hope the Mexican citizens don't think all Americans are 🤡like the POTUS,73,8,I hope the Mexican citizens don't think all Americans are like the POTUS,female,negative,disgust,adult,against,False,"🤝🌎💔 (Handshake globe with a broken heart) This combination suggests a hope for understanding and unity between people (handshake), a recognition of the global community (globe), and a hint of sadness or disappointment (broken heart) due to misconceptions or misunderstandings.","I hope the Mexican citizens don't think all Americans are like the POTUS 🤝🌎💔 (Handshake globe with a broken heart) This combination suggests a hope for understanding and unity between people (handshake), a recognition of the global community (globe), and a hint of sadness or disappointment (broken heart) due to misconceptions or misunderstandings.",female,neutral,sadness,adult,none,🤝🌎💔,I hope the Mexican citizens don't think all Americans are like the POTUS 🤝🌎💔,🤡
3,11,cde1bf7a51906eb605343abd83f72733,C'mon congress get with the program and do something about this 🤡🤡 He's giving all a bad wrap.,94,8,C'mon congress get with the program and do something about this  He's giving all a bad wrap.,female,negative,anger,teen,against,False,"😠🙅‍♂️💣 (Angry face, person refusing, bomb)","C'mon congress get with the program and do something about this  He's giving all a bad wrap. 😠🙅‍♂️💣 (Angry face, person refusing, bomb)",male,negative,anger,teen,against,😠🙅♂💣,C'mon congress get with the program and do something about this  He's giving all a bad wrap. 😠🙅♂💣,🤡🤡
4,13,cde1bf7a51906eb605343abd83f72733,such garbage! Jealousy is a nasty thing 😉,41,8,such garbage! Jealousy is a nasty thing ,female,negative,anger,teen,against,False,"🗑️💔🤨 (Trash can, broken heart, thinking face)","such garbage! Jealousy is a nasty thing  🗑️💔🤨 (Trash can, broken heart, thinking face)",female,negative,anger,teen,against,🗑💔🤨,such garbage! Jealousy is a nasty thing  🗑💔🤨,😉
5,16,cde1bf7a51906eb605343abd83f72733,who lives like that? It's not remotely inspiring 🤢,50,8,who lives like that? It's not remotely inspiring ,female,negative,disgust,teen,against,False,😴💔😞,who lives like that? It's not remotely inspiring  😴💔😞,female,negative,sadness,teen,against,😴💔😞,who lives like that? It's not remotely inspiring  😴💔😞,🤢
6,17,cde1bf7a51906eb605343abd83f72733,he's such a damn douche 🤢,25,8,he's such a damn douche ,female,negative,disgust,teen,against,True,😠😷👎,he's such a damn douche  😠😷👎,female,negative,anger,teen,against,😠😷👎,he's such a damn douche  😠😷👎,🤢
7,18,cde1bf7a51906eb605343abd83f72733,I love the  but I can't stand when they have #kellyanneconway on. She never makes any sense 😖,93,8,I love the  but I can't stand when they have #kellyanneconway on. She never makes any sense ,female,negative,disgust,teen,against,False,💔🤯🙅‍♀️,I love the  but I can't stand when they have #kellyanneconway on. She never makes any sense  💔🤯🙅‍♀️,female,negative,disgust,teen,against,💔🤯🙅♀,I love the  but I can't stand when they have #kellyanneconway on. She never makes any sense  💔🤯🙅♀,😖
8,21,cde1bf7a51906eb605343abd83f72733,not nice Perez! You just need to exercise more 😉,48,8,not nice Perez! You just need to exercise more ,female,neutral,disgust,teen,against,False,"🙅‍♂️🏋️‍♂️😠 (Not nice, exercise more, angry)","not nice Perez! You just need to exercise more  🙅‍♂️🏋️‍♂️😠 (Not nice, exercise more, angry)",male,negative,anger,teen,against,🙅♂🏋♂😠,not nice Perez! You just need to exercise more  🙅♂🏋♂😠,😉
9,22,cde1bf7a51906eb605343abd83f72733,this makes me 😡I don't understand why people don't get it,57,8,this makes me I don't understand why people don't get it,female,negative,anger,teen,none,False,"😕🤨😵‍💫 (Perplexed, Confused, Mind-blown)","this makes me I don't understand why people don't get it 😕🤨😵‍💫 (Perplexed, Confused, Mind-blown)",female,negative,surprise,teen,none,😕🤨😵💫,this makes me I don't understand why people don't get it 😕🤨😵💫,😡
10,30,1017647e21e7e73d900e1dfacbf95a0f,This is real dumb.👇🏻Dumber than penalties dumb.,47,8,This is real dumb.Dumber than penalties dumb.,male,negative,anger,teen,against,False,"🤧😵😠 (Sneezing face, Facepalm, Angry face)","This is real dumb.Dumber than penalties dumb. 🤧😵😠 (Sneezing face, Facepalm, Angry face)",female,negative,anger,teen,against,🤧😵😠,This is real dumb.Dumber than penalties dumb. 🤧😵😠,👇🏻
11,31,3d281b9d2d99ef89c3f60561b5595cd8,"and he says ""our civil discourse is becoming less and less civilised"" in response to Women's March, not Trumps's campaign. 🙄",124,8,"and he says ""our civil discourse is becoming less and less civilised"" in response to Women's March, not Trumps's campaign. ",female,negative,disgust,adult,against,True,"🙁💬🙅🏼‍♀️ (Sad face, speech bubble, woman shaking her head)","and he says ""our civil discourse is becoming less and less civilised"" in response to Women's March, not Trumps's campaign.  🙁💬🙅🏼‍♀️ (Sad face, speech bubble, woman shaking her head)",female,negative,sadness,adult,none,🙁💬🙅🏼♀,"and he says ""our civil discourse is becoming less and less civilised"" in response to Women's March, not Trumps's campaign.  🙁💬🙅🏼♀",🙄
12,56,39bb9d2f63eda74ac73d8020b24159f7,Worried about this tree. June 2013 storm it had no leaves on it. In full leaf now 😳. Note location of power lines!…,115,8,Worried about this tree. June 2013 storm it had no leaves on it. In full leaf now . Note location of power lines!…,female,neutral,fear,adult,none,False,"🌳😨🔌 (Tree, worried face, electrical plug)","Worried about this tree. June 2013 storm it had no leaves on it. In full leaf now . Note location of power lines!… 🌳😨🔌 (Tree, worried face, electrical plug)",female,negative,fear,adult,none,🌳😨🔌,Worried about this tree. June 2013 storm it had no leaves on it. In full leaf now . Note location of power lines!… 🌳😨🔌,😳
13,61,39bb9d2f63eda74ac73d8020b24159f7,we can just ignore the fact it took 4 years from when I first made the suggestion for move to occur 😋,101,8,we can just ignore the fact it took 4 years from when I first made the suggestion for move to occur ,female,neutral,disgust,adult,none,False,"😐🕒🙅‍♂️ (Neutral face, clock, person shrugging)","we can just ignore the fact it took 4 years from when I first made the suggestion for move to occur  😐🕒🙅‍♂️ (Neutral face, clock, person shrugging)",male,neutral,sadness,adult,none,😐🕒🙅♂,we can just ignore the fact it took 4 years from when I first made the suggestion for move to occur  😐🕒🙅♂,😋
14,82,b6f5bd8538fdde8d0d91089502dc3c9b,"So people follow you, you follow back, they message you asking you to follow all of their social media profiles yet don't follow back 😠",135,8,"So people follow you, you follow back, they message you asking you to follow all of their social media profiles yet don't follow back ",female,negative,anger,teen,against,False,🤝💔🤨,"So people follow you, you follow back, they message you asking you to follow all of their social media profiles yet don't follow back  🤝💔🤨",female,negative,sadness,teen,none,🤝💔🤨,"So people follow you, you follow back, they message you asking you to follow all of their social media profiles yet don't follow back  🤝💔🤨",😠
15,102,b6f5bd8538fdde8d0d91089502dc3c9b,"I don't wish sadness on people, but Aunt Babe needs a reality check. She is pure evil 😠 #EastEnders",99,8,"I don't wish sadness on people, but Aunt Babe needs a reality check. She is pure evil  #EastEnders",female,negative,anger,adult,against,True,"😈👩‍🦳😠 (Evil face, older woman, angry face)","I don't wish sadness on people, but Aunt Babe needs a reality check. She is pure evil  #EastEnders 😈👩‍🦳😠 (Evil face, older woman, angry face)",female,negative,anger,adult,against,😈👩🦳😠,"I don't wish sadness on people, but Aunt Babe needs a reality check. She is pure evil  #EastEnders 😈👩🦳😠",😠
16,118,a516e2fe464adf11f64748a693f97ee9,Footloose: another movie that sets unrealistic relationship standards ❤️,72,8,Footloose: another movie that sets unrealistic relationship standards ,female,neutral,disgust,adult,against,False,"💃💔💣 (Dancing girl, broken heart, bomb)","Footloose: another movie that sets unrealistic relationship standards  💃💔💣 (Dancing girl, broken heart, bomb)",female,negative,sadness,teen,against,💃💔💣,Footloose: another movie that sets unrealistic relationship standards  💃💔💣,❤
17,119,4ec282dd04af4ea6d8e5488721d20f5d,he actually tagged in the FBI and cia 😂😂😂😂😂 as if they give a flying fuck,73,8,he actually tagged in the FBI and cia  as if they give a flying fuck,male,negative,disgust,teen,none,True,🤥🔍😴,he actually tagged in the FBI and cia  as if they give a flying fuck 🤥🔍😴,male,negative,anger,teen,against,🤥🔍😴,he actually tagged in the FBI and cia  as if they give a flying fuck 🤥🔍😴,😂😂😂😂😂
18,120,4ec282dd04af4ea6d8e5488721d20f5d,"👍👍gorgeous little fella, let's hope he hates you and follows liverpool",70,8,"gorgeous little fella, let's hope he hates you and follows liverpool",male,negative,anger,teen,none,False,🌹🤬🏆,"gorgeous little fella, let's hope he hates you and follows liverpool 🌹🤬🏆",male,negative,anger,teen,against,🌹🤬🏆,"gorgeous little fella, let's hope he hates you and follows liverpool 🌹🤬🏆",👍👍
19,123,4ec282dd04af4ea6d8e5488721d20f5d,you made a right prick out of him there fred 👍👍👍,48,8,you made a right prick out of him there fred ,male,negative,anger,teen,none,True,"👎😠💔 (Angry face, middle finger, broken heart)","you made a right prick out of him there fred  👎😠💔 (Angry face, middle finger, broken heart)",male,negative,anger,teen,against,👎😠💔,you made a right prick out of him there fred  👎😠💔,👍👍👍
20,141,fcfa4182357a1c989d49a508bc57bd4,"A great city yes: but ""greatest""? You gotta get out and visit a few more... 😉",77,8,"A great city yes: but ""greatest""? You gotta get out and visit a few more... ",female,neutral,disgust,adult,none,True,"🏙️🌃🌐 (Cityscape, Night with Stars, Globe)","A great city yes: but ""greatest""? You gotta get out and visit a few more...  🏙️🌃🌐 (Cityscape, Night with Stars, Globe)",male,neutral,disgust,adult,none,🏙🌃🌐,"A great city yes: but ""greatest""? You gotta get out and visit a few more...  🏙🌃🌐",😉
21,142,a9d6aeea6330cd533c2f2f1b6e9d35e4,"white ppl: why aren't these radical muslims locked up 4 spewing hate speech
same white ppl: let the smartly dressed nazi talk 😕free speech!!",140,8,"white ppl: why aren't these radical muslims locked up 4 spewing hate speech
same white ppl: let the smartly dressed nazi talk free speech!!",female,negative,anger,teen,against,False,"🤨😲🙅‍♂️ (For the first statement: confused face, shocked face, man shaking head)
🤐🗣️🤥 (For the second statement: zipped mouth, loudspeaker, face with tears of joy)","white ppl: why aren't these radical muslims locked up 4 spewing hate speech
same white ppl: let the smartly dressed nazi talk free speech!! 🤨😲🙅‍♂️ (For the first statement: confused face, shocked face, man shaking head)
🤐🗣️🤥 (For the second statement: zipped mouth, loudspeaker, face with tears of joy)",female,negative,anger,teen,against,🤨😲🙅♂🤐🗣🤥,"white ppl: why aren't these radical muslims locked up 4 spewing hate speech
same white ppl: let the smartly dressed nazi talk free speech!! 🤨😲🙅♂🤐🗣🤥",😕
22,147,1f670d70ce7dd2a345327ffa853b52cd,The photoshoot with me and the kangaroos as objects was much cuter before that huge male roo joined us. Talk about ripped! 😳😰,125,8,The photoshoot with me and the kangaroos as objects was much cuter before that huge male roo joined us. Talk about ripped! ,female,neutral,fear,teen,none,False,"📸🦘😲🏋️‍♂️ (Camera, kangaroo, surprised face, muscle)","The photoshoot with me and the kangaroos as objects was much cuter before that huge male roo joined us. Talk about ripped!  📸🦘😲🏋️‍♂️ (Camera, kangaroo, surprised face, muscle)",female,neutral,surprise,teen,none,📸🦘😲🏋♂,The photoshoot with me and the kangaroos as objects was much cuter before that huge male roo joined us. Talk about ripped!  📸🦘😲🏋♂,😳😰
23,155,1f670d70ce7dd2a345327ffa853b52cd,Pretty sure the current big thing on #TheBigTour is what feels like a THOUSAND GINORMOUS BEETLES 😫,98,8,Pretty sure the current big thing on #TheBigTour is what feels like a THOUSAND GINORMOUS BEETLES ,female,negative,disgust,teen,none,False,"🐛🐞🐠 (Bug, Beetle, Surprised Face)","Pretty sure the current big thing on #TheBigTour is what feels like a THOUSAND GINORMOUS BEETLES  🐛🐞🐠 (Bug, Beetle, Surprised Face)",female,neutral,surprise,child,none,🐛🐞🐠,Pretty sure the current big thing on #TheBigTour is what feels like a THOUSAND GINORMOUS BEETLES  🐛🐞🐠,😫
24,165,8bffb37f30c00e74502f4f7c1ab75e4f,that's actually disgusting floss i hope you're okay 💪❤️,55,8,that's actually disgusting floss i hope you're okay ,female,positive,disgust,teen,none,False,🤮🦷😓,that's actually disgusting floss i hope you're okay  🤮🦷😓,female,negative,disgust,teen,against,🤮🦷😓,that's actually disgusting floss i hope you're okay  🤮🦷😓,💪❤
25,170,8bffb37f30c00e74502f4f7c1ab75e4f,"nz hoping to be pest free by 2050, does this mean cats too - one of the biggest killers of native birds? #stopexcusingcats 🚫",124,8,"nz hoping to be pest free by 2050, does this mean cats too - one of the biggest killers of native birds? #stopexcusingcats ",female,negative,anger,adult,against,False,"🐱🐰💔 (Cat, Bird, Broken Heart)","nz hoping to be pest free by 2050, does this mean cats too - one of the biggest killers of native birds? #stopexcusingcats  🐱🐰💔 (Cat, Bird, Broken Heart)",female,negative,sadness,adult,against,🐱🐰💔,"nz hoping to be pest free by 2050, does this mean cats too - one of the biggest killers of native birds? #stopexcusingcats  🐱🐰💔",🚫
26,175,6a66052c3985e8f4c29aed0b34d46c2,so I'd heard but past experiences had been raisin free...til now 😷😷😷,68,8,so I'd heard but past experiences had been raisin free...til now ,female,negative,disgust,teen,none,False,"😮🍇😞 (Surprised face, grapes, sad face)","so I'd heard but past experiences had been raisin free...til now  😮🍇😞 (Surprised face, grapes, sad face)",female,negative,surprise,teen,none,😮🍇😞,so I'd heard but past experiences had been raisin free...til now  😮🍇😞,😷😷😷
27,176,6a66052c3985e8f4c29aed0b34d46c2,When you get a coronation chicken sammich and it has raisins in it #spew 🤢🤢🤢,76,8,When you get a coronation chicken sammich and it has raisins in it #spew ,female,negative,disgust,teen,against,False,🍔🥗🤮,When you get a coronation chicken sammich and it has raisins in it #spew  🍔🥗🤮,female,negative,disgust,teen,against,🍔🥗🤮,When you get a coronation chicken sammich and it has raisins in it #spew  🍔🥗🤮,🤢🤢🤢
28,183,6a66052c3985e8f4c29aed0b34d46c2,wth! Why would you send that?! 🤢🤢🤢🤢,35,8,wth! Why would you send that?! ,female,negative,disgust,teen,none,False,😮😠😥,wth! Why would you send that?!  😮😠😥,female,negative,anger,teen,none,😮😠😥,wth! Why would you send that?!  😮😠😥,🤢🤢🤢🤢
29,205,6a66052c3985e8f4c29aed0b34d46c2,"Hi, if I need a copy of a statement from 3-4 years back for a particular month how do I go about getting that? Thanks 😬",119,8,"Hi, if I need a copy of a statement from 3-4 years back for a particular month how do I go about getting that? Thanks ",female,neutral,fear,adult,none,True,"📅🔍📥 (Calendar for the specific month, magnifying glass for searching, and envelope for requesting)","Hi, if I need a copy of a statement from 3-4 years back for a particular month how do I go about getting that? Thanks  📅🔍📥 (Calendar for the specific month, magnifying glass for searching, and envelope for requesting)",female,neutral,surprise,adult,none,📅🔍📥,"Hi, if I need a copy of a statement from 3-4 years back for a particular month how do I go about getting that? Thanks  📅🔍📥",😬
30,206,6a66052c3985e8f4c29aed0b34d46c2,The irony that British Gas' mobile app download page isn't mobile friendly #Ux 🙄🙄,81,8,The irony that British Gas' mobile app download page isn't mobile friendly #Ux ,female,negative,disgust,adult,against,False,"📱💩🤕 (Smartphone, Pile of Poop, Face with Medical Mask)","The irony that British Gas' mobile app download page isn't mobile friendly #Ux  📱💩🤕 (Smartphone, Pile of Poop, Face with Medical Mask)",female,negative,disgust,adult,against,📱💩🤕,The irony that British Gas' mobile app download page isn't mobile friendly #Ux  📱💩🤕,🙄🙄
31,227,6a66052c3985e8f4c29aed0b34d46c2,Spent an interesting day user testing. Pretty insightful. Til the last guy started to pick his nose. And eat it. 😷😷😷😷,117,8,Spent an interesting day user testing. Pretty insightful. Til the last guy started to pick his nose. And eat it. ,female,negative,disgust,teen,none,False,🤓💡🤮,Spent an interesting day user testing. Pretty insightful. Til the last guy started to pick his nose. And eat it.  🤓💡🤮,female,negative,disgust,teen,none,🤓💡🤮,Spent an interesting day user testing. Pretty insightful. Til the last guy started to pick his nose. And eat it.  🤓💡🤮,😷😷😷😷
