Unnamed: 0,index,user_id,emoji_sentence,char_count,cluster,sentence,gender_labels,sentiment_labels,emotion_labels,age_labels,stance_labels,is_duplicate,gender_labels_using_sentence,sentiment_labels_using_sentence,emotion_labels_using_sentence,age_labels_using_sentence,stance_labels_using_sentence,random_sentence,gender_labels_using_random_sentence,sentiment_labels_using_random_sentence,emotion_labels_using_random_sentence,age_labels_using_random_sentence,stance_labels_using_random_sentence,real_emojis,random_emojis
0,5,cde1bf7a51906eb605343abd83f72733,Once again he proves that he's for the establishment and not his constituents. 👎🏼👎🏿👎🏽👎 #Shameshame,98,8,Once again he proves that he's for the establishment and not his constituents.  #Shameshame,female,negative,anger,adult,against,False,female,negative,anger,adult,against,Once again he proves that he's for the establishment and not his constituents.  #Shameshame 🦄🐇🌹,female,negative,anger,adult,against,👎🏼👎🏿👎🏽👎,🦄🐇🌹
1,8,cde1bf7a51906eb605343abd83f72733,More tweets from he 🤡🤡,22,8,More tweets from he ,male,negative,disgust,teen,none,False,male,neutral,surprise,child,none,More tweets from he  🎶♨️🌌,male,neutral,surprise,child,none,🤡🤡,🎶♨🌌
2,9,cde1bf7a51906eb605343abd83f72733,I hope the Mexican citizens don't think all Americans are 🤡like the POTUS,73,8,I hope the Mexican citizens don't think all Americans are like the POTUS,female,negative,disgust,adult,against,False,female,neutral,sadness,adult,none,I hope the Mexican citizens don't think all Americans are like the POTUS 🏆🕯️💞,female,neutral,sadness,adult,none,🤡,🏆🕯💞
3,11,cde1bf7a51906eb605343abd83f72733,C'mon congress get with the program and do something about this 🤡🤡 He's giving all a bad wrap.,94,8,C'mon congress get with the program and do something about this  He's giving all a bad wrap.,female,negative,anger,teen,against,False,male,negative,anger,adult,against,C'mon congress get with the program and do something about this  He's giving all a bad wrap. ✝️🧢🔝,male,negative,anger,teen,none,🤡🤡,✝🧢🔝
4,13,cde1bf7a51906eb605343abd83f72733,such garbage! Jealousy is a nasty thing 😉,41,8,such garbage! Jealousy is a nasty thing ,female,negative,anger,teen,against,False,female,negative,anger,teen,against,such garbage! Jealousy is a nasty thing  🚴👅🏆,female,negative,anger,teen,against,😉,🚴👅🏆
5,16,cde1bf7a51906eb605343abd83f72733,who lives like that? It's not remotely inspiring 🤢,50,8,who lives like that? It's not remotely inspiring ,female,negative,disgust,teen,against,False,female,negative,disgust,teen,against,who lives like that? It's not remotely inspiring  🍿🎧🎈,female,negative,disgust,teen,against,🤢,🍿🎧🎈
6,17,cde1bf7a51906eb605343abd83f72733,he's such a damn douche 🤢,25,8,he's such a damn douche ,female,negative,disgust,teen,against,True,female,negative,anger,teen,against,he's such a damn douche  📌🦊❣️,female,negative,anger,teen,against,🤢,📌🦊❣
7,18,cde1bf7a51906eb605343abd83f72733,I love the  but I can't stand when they have #kellyanneconway on. She never makes any sense 😖,93,8,I love the  but I can't stand when they have #kellyanneconway on. She never makes any sense ,female,negative,disgust,teen,against,False,female,negative,anger,adult,against,I love the  but I can't stand when they have #kellyanneconway on. She never makes any sense  🙀🎂🥓,female,negative,disgust,teen,against,😖,🙀🎂🥓
8,21,cde1bf7a51906eb605343abd83f72733,not nice Perez! You just need to exercise more 😉,48,8,not nice Perez! You just need to exercise more ,female,neutral,disgust,teen,against,False,female,negative,anger,teen,against,not nice Perez! You just need to exercise more  🌴🦅☎️,female,negative,anger,teen,against,😉,🌴🦅☎
9,22,cde1bf7a51906eb605343abd83f72733,this makes me 😡I don't understand why people don't get it,57,8,this makes me I don't understand why people don't get it,female,negative,anger,teen,none,False,female,neutral,sadness,teen,none,this makes me I don't understand why people don't get it 🍀🍎🐢,female,neutral,confusion,child,none,😡,🍀🍎🐢
10,30,1017647e21e7e73d900e1dfacbf95a0f,This is real dumb.👇🏻Dumber than penalties dumb.,47,8,This is real dumb.Dumber than penalties dumb.,male,negative,anger,teen,against,False,male,negative,anger,teen,against,This is real dumb.Dumber than penalties dumb. 👽🍟😑,female,negative,anger,teen,against,👇🏻,👽🍟😑
11,31,3d281b9d2d99ef89c3f60561b5595cd8,"and he says ""our civil discourse is becoming less and less civilised"" in response to Women's March, not Trumps's campaign. 🙄",124,8,"and he says ""our civil discourse is becoming less and less civilised"" in response to Women's March, not Trumps's campaign. ",female,negative,disgust,adult,against,True,female,negative,anger,adult,none,"and he says ""our civil discourse is becoming less and less civilised"" in response to Women's March, not Trumps's campaign.  🎂💅👺",female,negative,anger,adult,none,🙄,🎂💅👺
12,56,39bb9d2f63eda74ac73d8020b24159f7,Worried about this tree. June 2013 storm it had no leaves on it. In full leaf now 😳. Note location of power lines!…,115,8,Worried about this tree. June 2013 storm it had no leaves on it. In full leaf now . Note location of power lines!…,female,neutral,fear,adult,none,False,male,neutral,fear,adult,none,Worried about this tree. June 2013 storm it had no leaves on it. In full leaf now . Note location of power lines!… 😙🕺⏰,male,neutral,fear,adult,none,😳,😙🕺
13,61,39bb9d2f63eda74ac73d8020b24159f7,we can just ignore the fact it took 4 years from when I first made the suggestion for move to occur 😋,101,8,we can just ignore the fact it took 4 years from when I first made the suggestion for move to occur ,female,neutral,disgust,adult,none,False,female,negative,sadness,adult,none,we can just ignore the fact it took 4 years from when I first made the suggestion for move to occur  ⚾🌍🗣️,female,negative,disgust,adult,none,😋,⚾🌍🗣
14,82,b6f5bd8538fdde8d0d91089502dc3c9b,"So people follow you, you follow back, they message you asking you to follow all of their social media profiles yet don't follow back 😠",135,8,"So people follow you, you follow back, they message you asking you to follow all of their social media profiles yet don't follow back ",female,negative,anger,teen,against,False,female,negative,anger,teen,none,"So people follow you, you follow back, they message you asking you to follow all of their social media profiles yet don't follow back  💧👙👉",female,negative,disgust,teen,none,😠,💧👙👉
15,102,b6f5bd8538fdde8d0d91089502dc3c9b,"I don't wish sadness on people, but Aunt Babe needs a reality check. She is pure evil 😠 #EastEnders",99,8,"I don't wish sadness on people, but Aunt Babe needs a reality check. She is pure evil  #EastEnders",female,negative,anger,adult,against,True,female,negative,anger,adult,against,"I don't wish sadness on people, but Aunt Babe needs a reality check. She is pure evil  #EastEnders 🦜😵🧡",female,negative,anger,adult,against,😠,🦜😵🧡
16,118,a516e2fe464adf11f64748a693f97ee9,Footloose: another movie that sets unrealistic relationship standards ❤️,72,8,Footloose: another movie that sets unrealistic relationship standards ,female,neutral,disgust,adult,against,False,female,negative,disgust,adult,against,Footloose: another movie that sets unrealistic relationship standards  🧐☠️⬇️,female,negative,disgust,teen,against,❤,🧐☠
17,119,4ec282dd04af4ea6d8e5488721d20f5d,he actually tagged in the FBI and cia 😂😂😂😂😂 as if they give a flying fuck,73,8,he actually tagged in the FBI and cia  as if they give a flying fuck,male,negative,disgust,teen,none,True,male,negative,anger,teen,none,he actually tagged in the FBI and cia  as if they give a flying fuck 🖤🤔🥰,female,neutral,disgust,teen,none,😂😂😂😂😂,🖤🤔🥰
18,120,4ec282dd04af4ea6d8e5488721d20f5d,"👍👍gorgeous little fella, let's hope he hates you and follows liverpool",70,8,"gorgeous little fella, let's hope he hates you and follows liverpool",male,negative,anger,teen,none,False,male,negative,anger,teen,against,"gorgeous little fella, let's hope he hates you and follows liverpool 🥀🍎🦷",male,neutral,disgust,teen,against,👍👍,🥀🍎🦷
19,123,4ec282dd04af4ea6d8e5488721d20f5d,you made a right prick out of him there fred 👍👍👍,48,8,you made a right prick out of him there fred ,male,negative,anger,teen,none,True,male,negative,anger,adult,none,you made a right prick out of him there fred  🥰🎄👂,female,positive,happiness,teen,none,👍👍👍,🥰🎄👂
20,141,fcfa4182357a1c989d49a508bc57bd4,"A great city yes: but ""greatest""? You gotta get out and visit a few more... 😉",77,8,"A great city yes: but ""greatest""? You gotta get out and visit a few more... ",female,neutral,disgust,adult,none,True,female,neutral,disgust,adult,none,"A great city yes: but ""greatest""? You gotta get out and visit a few more...  🛒🌌🍋",female,neutral,surprise,adult,none,😉,🛒🌌🍋
21,142,a9d6aeea6330cd533c2f2f1b6e9d35e4,"white ppl: why aren't these radical muslims locked up 4 spewing hate speech
same white ppl: let the smartly dressed nazi talk 😕free speech!!",140,8,"white ppl: why aren't these radical muslims locked up 4 spewing hate speech
same white ppl: let the smartly dressed nazi talk free speech!!",female,negative,anger,teen,against,False,female,negative,anger,teen,against,"white ppl: why aren't these radical muslims locked up 4 spewing hate speech
same white ppl: let the smartly dressed nazi talk free speech!! 🤡🧢💫",female,negative,anger,teen,against,😕,🤡🧢💫
22,147,1f670d70ce7dd2a345327ffa853b52cd,The photoshoot with me and the kangaroos as objects was much cuter before that huge male roo joined us. Talk about ripped! 😳😰,125,8,The photoshoot with me and the kangaroos as objects was much cuter before that huge male roo joined us. Talk about ripped! ,female,neutral,fear,teen,none,False,female,neutral,surprise,teen,none,The photoshoot with me and the kangaroos as objects was much cuter before that huge male roo joined us. Talk about ripped!  🎻🌧️👇,female,neutral,surprise,teen,none,😳😰,🎻🌧👇
23,155,1f670d70ce7dd2a345327ffa853b52cd,Pretty sure the current big thing on #TheBigTour is what feels like a THOUSAND GINORMOUS BEETLES 😫,98,8,Pretty sure the current big thing on #TheBigTour is what feels like a THOUSAND GINORMOUS BEETLES ,female,negative,disgust,teen,none,False,female,neutral,surprise,teen,none,Pretty sure the current big thing on #TheBigTour is what feels like a THOUSAND GINORMOUS BEETLES  💊🎈🌃,female,neutral,surprise,teen,none,😫,💊🎈🌃
24,165,8bffb37f30c00e74502f4f7c1ab75e4f,that's actually disgusting floss i hope you're okay 💪❤️,55,8,that's actually disgusting floss i hope you're okay ,female,positive,disgust,teen,none,False,female,negative,disgust,teen,against,that's actually disgusting floss i hope you're okay  🌱🌮🇨🇦,female,neutral,disgust,teen,none,💪❤,🌱🌮🇨🇦
25,170,8bffb37f30c00e74502f4f7c1ab75e4f,"nz hoping to be pest free by 2050, does this mean cats too - one of the biggest killers of native birds? #stopexcusingcats 🚫",124,8,"nz hoping to be pest free by 2050, does this mean cats too - one of the biggest killers of native birds? #stopexcusingcats ",female,negative,anger,adult,against,False,female,negative,anger,adult,against,"nz hoping to be pest free by 2050, does this mean cats too - one of the biggest killers of native birds? #stopexcusingcats  💨🏵️🥔",female,negative,disgust,teen,against,🚫,💨🏵🥔
26,175,6a66052c3985e8f4c29aed0b34d46c2,so I'd heard but past experiences had been raisin free...til now 😷😷😷,68,8,so I'd heard but past experiences had been raisin free...til now ,female,negative,disgust,teen,none,False,female,neutral,sadness,teen,none,so I'd heard but past experiences had been raisin free...til now  🦀🗿🐢,female,neutral,surprise,teen,none,😷😷😷,🦀🗿🐢
27,176,6a66052c3985e8f4c29aed0b34d46c2,When you get a coronation chicken sammich and it has raisins in it #spew 🤢🤢🤢,76,8,When you get a coronation chicken sammich and it has raisins in it #spew ,female,negative,disgust,teen,against,False,female,negative,disgust,teen,against,When you get a coronation chicken sammich and it has raisins in it #spew  😳🛐🍨,female,negative,disgust,teen,none,🤢🤢🤢,😳🛐🍨
28,183,6a66052c3985e8f4c29aed0b34d46c2,wth! Why would you send that?! 🤢🤢🤢🤢,35,8,wth! Why would you send that?! ,female,negative,disgust,teen,none,False,female,negative,anger,teen,none,wth! Why would you send that?!  🥓🥇🦖,female,negative,anger,teen,none,🤢🤢🤢🤢,🥓🥇🦖
29,205,6a66052c3985e8f4c29aed0b34d46c2,"Hi, if I need a copy of a statement from 3-4 years back for a particular month how do I go about getting that? Thanks 😬",119,8,"Hi, if I need a copy of a statement from 3-4 years back for a particular month how do I go about getting that? Thanks ",female,neutral,fear,adult,none,True,female,neutral,surprise,adult,none,"Hi, if I need a copy of a statement from 3-4 years back for a particular month how do I go about getting that? Thanks  🌚⚾👯",female,neutral,surprise,adult,none,😬,🌚⚾👯
30,206,6a66052c3985e8f4c29aed0b34d46c2,The irony that British Gas' mobile app download page isn't mobile friendly #Ux 🙄🙄,81,8,The irony that British Gas' mobile app download page isn't mobile friendly #Ux ,female,negative,disgust,adult,against,False,female,negative,surprise,adult,none,The irony that British Gas' mobile app download page isn't mobile friendly #Ux  🦍😩😥,female,negative,sadness,adult,none,🙄🙄,🦍😩😥
31,227,6a66052c3985e8f4c29aed0b34d46c2,Spent an interesting day user testing. Pretty insightful. Til the last guy started to pick his nose. And eat it. 😷😷😷😷,117,8,Spent an interesting day user testing. Pretty insightful. Til the last guy started to pick his nose. And eat it. ,female,negative,disgust,teen,none,False,female,neutral,disgust,adult,none,Spent an interesting day user testing. Pretty insightful. Til the last guy started to pick his nose. And eat it.  💚🌧️🌛,female,neutral,disgust,teen,none,😷😷😷😷,💚🌧🌛
32,230,6a66052c3985e8f4c29aed0b34d46c2,the black kid is sooooo salty 🙄,31,8,the black kid is sooooo salty ,male,negative,disgust,teen,none,True,male,negative,anger,teen,against,the black kid is sooooo salty  🛌1️⃣👗,female,negative,anger,teen,none,🙄,🛌👗
33,233,6a66052c3985e8f4c29aed0b34d46c2,is it still under warranty? Might be a hardware fault..get it seen to asap 👀,76,8,is it still under warranty? Might be a hardware fault..get it seen to asap ,female,neutral,fear,adult,none,False,male,neutral,fear,adult,none,is it still under warranty? Might be a hardware fault..get it seen to asap  🍦☝️🐸,female,neutral,sadness,adult,none,👀,🍦☝🐸
34,239,a7257678e00d456ac53471feb214dd0f,FEBRUARY 19TH?!?!?! ARE YOU KIDDING ME??!!! 😡😡😡😡😡😡😡,51,8,FEBRUARY 19TH?!?!?! ARE YOU KIDDING ME??!!! ,female,negative,anger,teen,none,True,female,negative,anger,teen,none,FEBRUARY 19TH?!?!?! ARE YOU KIDDING ME??!!!  🙋💻⬇️,female,negative,anger,teen,none,😡😡😡😡😡😡😡,🙋💻
35,240,a7257678e00d456ac53471feb214dd0f,I see  have upped the price of the #Wilson #SW104Blade 🙄,56,8,I see  have upped the price of the #Wilson #SW104Blade ,female,negative,anger,teen,none,True,male,neutral,anger,adult,none,I see  have upped the price of the #Wilson #SW104Blade  😌😒🎓,female,neutral,disgust,teen,none,🙄,😌😒🎓
36,244,a7257678e00d456ac53471feb214dd0f,Not bloody good enough! Pathetic!! 😡😡😡,38,8,Not bloody good enough! Pathetic!! ,female,negative,anger,teen,against,True,female,negative,anger,teen,against,Not bloody good enough! Pathetic!!  📱🥰🛐,female,negative,anger,teen,none,😡😡😡,📱🥰🛐
37,254,2d68d3f08c0d0defcb46c4c46f6e9bc1,That quake gave me a fright  😨,30,8,That quake gave me a fright  ,female,negative,fear,teen,none,True,female,negative,fear,teen,none,That quake gave me a fright   🌊🤣👩,female,neutral,fear,teen,none,😨,🌊🤣👩
38,265,2d68d3f08c0d0defcb46c4c46f6e9bc1,"Everyone in the flat is weirdly anxious. Pacing &amp; not wanting to go to bed. 

Flattie  pointed out the quake was this night last week 🙃",139,8,"Everyone in the flat is weirdly anxious. Pacing &amp; not wanting to go to bed. 

Flattie  pointed out the quake was this night last week ",female,neutral,fear,adult,none,True,female,neutral,fear,adult,none,"Everyone in the flat is weirdly anxious. Pacing &amp; not wanting to go to bed. 

Flattie  pointed out the quake was this night last week  🥀😽⚡",female,negative,fear,teen,none,🙃,🥀😽⚡
39,266,2d68d3f08c0d0defcb46c4c46f6e9bc1,Going to be sick on my annual leave 😠😠😠😠,40,8,Going to be sick on my annual leave ,female,negative,anger,adult,none,True,female,negative,sadness,adult,none,Going to be sick on my annual leave  ✌️👩🦀,female,negative,sadness,adult,none,😠😠😠😠,✌👩🦀
40,270,2d68d3f08c0d0defcb46c4c46f6e9bc1,That gave me a frigging fright 😣 #eqnz,38,8,That gave me a frigging fright  #eqnz,female,negative,fear,teen,none,True,female,negative,fear,teen,none,That gave me a frigging fright  #eqnz 😾🍷🍌,female,negative,fear,teen,none,😣,😾🍷🍌
41,291,21c52d11bc9e1b73292ebb299bcb1fe7,"When the Painter was to come round about 10am, you call around 11am to see where he is and he pauses "".....ooooooohhhh I come 11.30 ok?""🙄🤥",138,8,"When the Painter was to come round about 10am, you call around 11am to see where he is and he pauses "".....ooooooohhhh I come 11.30 ok?""",female,negative,anger,adult,none,True,female,neutral,frustration,adult,none,"When the Painter was to come round about 10am, you call around 11am to see where he is and he pauses "".....ooooooohhhh I come 11.30 ok?"" 🎁👆😳",female,neutral,surprise,adult,none,🙄🤥,🎁👆😳
