Unnamed: 0,index,user_id,emoji_sentence,char_count,cluster,sentence,gender_labels,sentiment_labels,emotion_labels,age_labels,stance_labels,is_duplicate,predicted_emojis,predicted_sentence,gender_logits,sentiment_logits,emotion_logits,age_logits,stance_logits,real_emojis
0,5,cde1bf7a51906eb605343abd83f72733,Once again he proves that he's for the establishment and not his constituents. 👎🏼👎🏿👎🏽👎 #Shameshame,98,8,Once again he proves that he's for the establishment and not his constituents.  #Shameshame,female,negative,anger,adult,against,False,🚫👎😒,Once again he proves that he's for the establishment and not his constituents.  #Shameshame 🚫👎😒,female,negative,anger,adult,against,👎🏼👎🏿👎🏽👎
1,8,cde1bf7a51906eb605343abd83f72733,More tweets from he 🤡🤡,22,8,More tweets from he ,male,negative,disgust,teen,none,False,📱👀💬,More tweets from he  📱👀💬,male,neutral,surprise,child,none,🤡🤡
2,9,cde1bf7a51906eb605343abd83f72733,I hope the Mexican citizens don't think all Americans are 🤡like the POTUS,73,8,I hope the Mexican citizens don't think all Americans are like the POTUS,female,negative,disgust,adult,against,False,🤦‍♂️🇺🇸🙏,I hope the Mexican citizens don't think all Americans are like the POTUS 🤦‍♂️🇺🇸🙏,male,neutral,sadness,adult,none,🤡
3,11,cde1bf7a51906eb605343abd83f72733,C'mon congress get with the program and do something about this 🤡🤡 He's giving all a bad wrap.,94,8,C'mon congress get with the program and do something about this  He's giving all a bad wrap.,female,negative,anger,teen,against,False,🤦‍♂️🚫👎,C'mon congress get with the program and do something about this  He's giving all a bad wrap. 🤦‍♂️🚫👎,male,negative,anger,teen,against,🤡🤡
4,13,cde1bf7a51906eb605343abd83f72733,such garbage! Jealousy is a nasty thing 😉,41,8,such garbage! Jealousy is a nasty thing ,female,negative,anger,teen,against,False,🚮😒💔,such garbage! Jealousy is a nasty thing  🚮😒💔,female,negative,anger,teen,against,😉
5,16,cde1bf7a51906eb605343abd83f72733,who lives like that? It's not remotely inspiring 🤢,50,8,who lives like that? It's not remotely inspiring ,female,negative,disgust,teen,against,False,🙄😒👎,who lives like that? It's not remotely inspiring  🙄😒👎,female,negative,disgust,teen,against,🤢
6,17,cde1bf7a51906eb605343abd83f72733,he's such a damn douche 🤢,25,8,he's such a damn douche ,female,negative,disgust,teen,against,True,🙄👎💔,he's such a damn douche  🙄👎💔,female,negative,anger,teen,against,🤢
7,18,cde1bf7a51906eb605343abd83f72733,I love the  but I can't stand when they have #kellyanneconway on. She never makes any sense 😖,93,8,I love the  but I can't stand when they have #kellyanneconway on. She never makes any sense ,female,negative,disgust,teen,against,False,📺🙄😒,I love the  but I can't stand when they have #kellyanneconway on. She never makes any sense  📺🙄😒,female,negative,disgust,teen,against,😖
8,21,cde1bf7a51906eb605343abd83f72733,not nice Perez! You just need to exercise more 😉,48,8,not nice Perez! You just need to exercise more ,female,neutral,disgust,teen,against,False,🏋️‍♂️👎😒,not nice Perez! You just need to exercise more  🏋️‍♂️👎😒,male,negative,disgust,teen,against,😉
9,22,cde1bf7a51906eb605343abd83f72733,this makes me 😡I don't understand why people don't get it,57,8,this makes me I don't understand why people don't get it,female,negative,anger,teen,none,False,🤷‍♂️🙄😒,this makes me I don't understand why people don't get it 🤷‍♂️🙄😒,male,negative,frustration,teen,none,😡
10,30,1017647e21e7e73d900e1dfacbf95a0f,This is real dumb.👇🏻Dumber than penalties dumb.,47,8,This is real dumb.Dumber than penalties dumb.,male,negative,anger,teen,against,False,🙄🤦‍♂️😒,This is real dumb.Dumber than penalties dumb. 🙄🤦‍♂️😒,male,negative,anger,teen,against,👇🏻
11,31,3d281b9d2d99ef89c3f60561b5595cd8,"and he says ""our civil discourse is becoming less and less civilised"" in response to Women's March, not Trumps's campaign. 🙄",124,8,"and he says ""our civil discourse is becoming less and less civilised"" in response to Women's March, not Trumps's campaign. ",female,negative,disgust,adult,against,True,🙄👎💔,"and he says ""our civil discourse is becoming less and less civilised"" in response to Women's March, not Trumps's campaign.  🙄👎💔",female,negative,sadness,adult,against,🙄
12,56,39bb9d2f63eda74ac73d8020b24159f7,Worried about this tree. June 2013 storm it had no leaves on it. In full leaf now 😳. Note location of power lines!…,115,8,Worried about this tree. June 2013 storm it had no leaves on it. In full leaf now . Note location of power lines!…,female,neutral,fear,adult,none,False,🌳⚡️😬,Worried about this tree. June 2013 storm it had no leaves on it. In full leaf now . Note location of power lines!… 🌳⚡️😬,female,neutral,fear,adult,none,😳
13,61,39bb9d2f63eda74ac73d8020b24159f7,we can just ignore the fact it took 4 years from when I first made the suggestion for move to occur 😋,101,8,we can just ignore the fact it took 4 years from when I first made the suggestion for move to occur ,female,neutral,disgust,adult,none,False,🙄🕰️👀,we can just ignore the fact it took 4 years from when I first made the suggestion for move to occur  🙄🕰️👀,female,negative,disgust,adult,none,😋
14,82,b6f5bd8538fdde8d0d91089502dc3c9b,"So people follow you, you follow back, they message you asking you to follow all of their social media profiles yet don't follow back 😠",135,8,"So people follow you, you follow back, they message you asking you to follow all of their social media profiles yet don't follow back ",female,negative,anger,teen,against,False,🙄👎😒,"So people follow you, you follow back, they message you asking you to follow all of their social media profiles yet don't follow back  🙄👎😒",female,negative,disgust,teen,against,😠
15,102,b6f5bd8538fdde8d0d91089502dc3c9b,"I don't wish sadness on people, but Aunt Babe needs a reality check. She is pure evil 😠 #EastEnders",99,8,"I don't wish sadness on people, but Aunt Babe needs a reality check. She is pure evil  #EastEnders",female,negative,anger,adult,against,True,😒👺💔,"I don't wish sadness on people, but Aunt Babe needs a reality check. She is pure evil  #EastEnders 😒👺💔",female,negative,anger,teen,against,😠
16,118,a516e2fe464adf11f64748a693f97ee9,Footloose: another movie that sets unrealistic relationship standards ❤️,72,8,Footloose: another movie that sets unrealistic relationship standards ,female,neutral,disgust,adult,against,False,💃🕺😒,Footloose: another movie that sets unrealistic relationship standards  💃🕺😒,female,negative,disgust,teen,against,❤
17,119,4ec282dd04af4ea6d8e5488721d20f5d,he actually tagged in the FBI and cia 😂😂😂😂😂 as if they give a flying fuck,73,8,he actually tagged in the FBI and cia  as if they give a flying fuck,male,negative,disgust,teen,none,True,🚫👀😂,he actually tagged in the FBI and cia  as if they give a flying fuck 🚫👀😂,male,negative,happiness,teen,none,😂😂😂😂😂
